year,scenario,asset_id,total_bi_loss_mwh
2025,rcp45,hayhurst_solar,8118.093704096453
2026,rcp45,hayhurst_solar,9393.270958276818
2027,rcp45,hayhurst_solar,7578.079264322859
2028,rcp45,hayhurst_solar,5352.683735649074
2029,rcp45,hayhurst_solar,7530.026957185908
2030,rcp45,hayhurst_solar,5295.597994016638
2031,rcp45,hayhurst_solar,12951.725982207998
2032,rcp45,hayhurst_solar,11088.362179103893
2033,rcp45,hayhurst_solar,10384.58713298045
2034,rcp45,hayhurst_solar,17236.038202212007
2035,rcp45,hayhurst_solar,11767.984333840084
2036,rcp45,hayhurst_solar,12996.440293125721
2037,rcp45,hayhurst_solar,16315.409894658305
2038,rcp45,hayhurst_solar,5322.226832255967
2039,rcp45,hayhurst_solar,8348.723830147814
2040,rcp45,hayhurst_solar,9866.947302291528
2041,rcp45,hayhurst_solar,9170.649312338326
2042,rcp45,hayhurst_solar,8848.983449850499
2043,rcp45,hayhurst_solar,13093.878272256034
2044,rcp45,hayhurst_solar,4028.370097482729
2045,rcp45,hayhurst_solar,10673.834231889647
2046,rcp45,hayhurst_solar,16403.689910020916
2047,rcp45,hayhurst_solar,3722.9222737529517
2048,rcp45,hayhurst_solar,4618.779303542549
2049,rcp45,hayhurst_solar,6445.677225579172
2050,rcp45,hayhurst_solar,13183.690615501886
